Date,Max Temperature (F),Min Temperature (F),Precipitation (mm),Avoid,Alternatives,All Weather,Good Bets
2/7/2022,39,23,0,1,0,0,0
2/6/2022,40,20,0,1,0,0,0
2/5/2022,41,17,0,1,0,0,0
2/4/2022,39,21,0,1,0,0,0
2/3/2022,37,24,0,1,0,0,0
2/2/2022,34,16,0,1,0,0,0
2/1/2022,35,18,0,1,0,0,0
1/31/2022,40,23,0,1,0,0,0
1/30/2022,29,13,0,1,0,0,0
1/29/2022,33,13,0,1,0,0,0
1/28/2022,29,14,0,1,0,1,1
1/27/2022,31,19,0,1,0,1,1
1/26/2022,29,23,0,1,0,1,1
1/25/2022,31,24,0,1,0,1,1
1/24/2022,31,26,0,1,0,1,1
1/23/2022,32,29,0,1,0,1,1
1/22/2022,34,24,0,1,0,1,1
1/21/2022,39,27,0,1,0,1,1
1/20/2022,35,31,0.2,1,0,1,1
1/19/2022,33,30,0,1,0,1,1
1/18/2022,32,28,0,1,0,1,1
1/17/2022,32,23,0,1,0,1,1
1/16/2022,37,26,0,1,0,1,1
1/15/2022,37,25,0,1,0,1,1
1/14/2022,40,24,0,1,0,1,1
1/13/2022,40,27,0,1,0,1,1
1/12/2022,39,22,0,1,0,0,1
1/11/2022,36,27,0,1,0,0,0
1/10/2022,34,20,0,1,0,0,0
1/9/2022,36,24,0,1,0,0,0
1/8/2022,40,29,0,1,0,1,1
1/7/2022,49,35,0.11,1,0,0,1
1/6/2022,41,32,0.1,1,0,0,1
1/5/2022,37,32,0.36,1,0,0,1
1/4/2022,35,31,0.16,1,0,0,1
1/3/2022,41,7,0.15,1,0,0,1
1/2/2022,25,6,0,0,0,0,0
1/1/2022,24,-3,0,0,0,0,0
12/31/2021,30,9,0,0,0,0,0
12/30/2021,30,15,0.09,0,0,0,0
12/29/2021,27,12,0.12,0,0,0,0
12/28/2021,24,15,0,0,0,0,0
12/27/2021,31,21,0.02,1,0,0,0
12/26/2021,36,26,0.14,1,0,1,1
12/25/2021,37,27,0.03,1,0,1,1
12/24/2021,37,26,0.19,0,0,0,0
12/23/2021,46,33,0.22,1,0,1,1
12/22/2021,46,30,0.04,1,0,1,1
12/21/2021,42,25,0,1,0,0,0
12/20/2021,50,30,0,1,0,0,0
12/19/2021,38,27,0.01,0,0,0,0
12/18/2021,35,25,0,1,0,0,0
12/17/2021,38,26,0,0,0,0,0
12/16/2021,35,30,0.03,0,0,0,0
12/15/2021,33,19,0.01,0,0,0,0
12/14/2021,50,26,0.3,1,0,0,0
12/13/2021,53,41,0,1,0,0,1
12/12/2021,50,37,0.06,1,0,0,1
12/11/2021,42,34,0,1,0,0,0
12/10/2021,38,20,0.03,1,0,0,0
12/9/2021,37,30,0.01,1,0,0,0
12/8/2021,50,31,0,1,0,0,0
12/7/2021,44,33,0.01,1,0,0,0
12/6/2021,38,30,0.23,1,0,0,0
12/5/2021,49,31,0,1,0,0,0
12/4/2021,52,29,0,1,0,0,0
12/3/2021,53,32,0,1,0,0,0
12/2/2021,53,32,0,1,0,0,0
12/1/2021,55,33,0,1,0,0,0
11/30/2021,51,31,0,1,0,0,0
11/29/2021,53,31,0,1,0,0,0
11/28/2021,55,32,0,1,0,0,0
11/27/2021,52,32,0,1,0,0,0
11/26/2021,43,31,0,1,0,0,0
11/25/2021,49,26,0,1,0,0,0
11/24/2021,43,28,0,1,0,0,0
11/23/2021,43,25,0.11,1,0,0,1
11/22/2021,50,28,0,1,0,0,1
11/21/2021,47,29,0,1,0,1,1
11/20/2021,47,32,0,1,0,1,1
11/19/2021,54,42,0.21,1,0,1,1
11/18/2021,46,31,0.08,1,0,0,1
11/17/2021,43,23,0,1,0,0,1
11/16/2021,56,29,0,1,0,0,1
11/15/2021,61,45,0,1,0,0,1
11/14/2021,63,47,0,1,0,0,1
11/13/2021,61,43,0.01,1,0,0,1
11/12/2021,62,41,0,1,0,0,1
11/11/2021,49,42,0.02,1,0,0,1
11/10/2021,50,35,0,1,0,0,1
11/9/2021,50,36,0.41,1,0,0,1
11/8/2021,50,34,0,1,0,0,0
11/7/2021,50,34,0,1,0,0,0
11/6/2021,57,45,0.02,1,0,0,0
11/5/2021,63,42,0,1,0,0,0
11/4/2021,63,48,0.04,1,0,0,0
11/3/2021,65,42,0,1,0,0,0
11/2/2021,60,47,0,1,0,0,0
11/1/2021,55,40,0.15,1,0,0,0
